lipid_id,lipids,160_Plasma,163_Plasma,167_Plasma,168_Plasma,158_Plasma,161_Plasma,162_Plasma,164_Plasma,170_Plasma
10421_p,DG 47:5,9312863,11454272,10484752,13837235,9686672,9146685,12957437,9213930,9769442
10424_p,PE 40:6|PE 18:0_22:6,27498018,41771728,36072032,33321956,42342736,50594616,54839704,26495298,62310632
10425_p,PC 37:6|PC 15:0_22:6,48718680,95400832,98319632,87107192,59634244,72137720,67592816,32041664,65960708
10426_p,PC O-38:6|PC O-16:0_22:6,251254992,329670176,333869088,302068416,195906880,254985296,259408944,264454864,210723664
10428_p,PC O-38:6|PC O-18:2_20:4,286587936,378228352,378541088,347853824,244190944,292459648,304996032,321820096,252118496
10430_p,TG 46:2|TG 12:0_16:0_18:2,169887424,130459472,166090464,121066752,301451456,156019712,103591104,60559892,159731536
10436_p,DG 48:11,44784876,72856944,67280944,73001136,61055340,61972356,83444032,38979872,57764000
10437_p,DG 48:11,37094104,44805732,57563012,60012568,35575648,48057700,38319736,24223210,42141140
10438_p,DG 48:11,142864144,171871552,168322944,161470688,111179696,129413112,133723992,148991648,115335656
10447_p,PC 37:5,51998200,86244584,90462016,79511080,75377064,59328320,63599272,35035592,69365728
10448_p,PC 37:5|PC 17:1_20:4,54270676,89803488,87224528,81676416,78670176,63234084,66233768,35826916,65613856
10449_p,PC O-38:5|PC O-18:1_20:4,693938240,877311680,845732672,859180288,712337280,683742464,799899968,796957824,718212992
10450_p,PC O-38:5|PC O-18:1_20:4,764268544,990382592,1069739520,948495872,764367360,742128320,844520640,871421504,778910400
10452_p,TG 46:1|TG 12:0_16:0_18:1,128875784,91321176,104715968,92024224,208147760,107412904,84706616,62910284,119644760
10454_p,TG 46:1|TG 14:0_16:0_16:1,129574648,91798752,111209736,92589648,207795888,112472680,84219336,63096616,119987768
10457_p,DG 48:10,15956996,21504432,21229802,20784196,27464858,19034398,21880762,16732620,23598708
10459_p,TG 46:3|TG 10:0_18:1_18:2,4289068.5,1848120.25,4159614,2933916,9094117,3536429.5,2954646,1300796.875,4335062
10469_p,PC 37:4,27632258,72797856,53550076,48044296,59672040,48154232,54245072,24878220,41978768
10470_p,PC 37:4|PC 17:0_20:4,380680096,600188736,637346816,547578752,408774592,428345216,436651424,288317824,420418112
10471_p,PC O-38:4|PC O-18:0_20:4,414333152,609207104,570910080,580664960,436341376,449358752,524536512,488160064,505741248
10473_p,PC O-38:4|PC O-16:0_22:4,400059648,575482688,556341632,567306560,422869376,427100064,504101696,459696224,472051840
10475_p,TG 46:0|TG 14:0_16:0_16:0,34573576,30663578,36991992,28244204,46931352,35724152,28250656,25701568,32542106
10483_p,DG 48:9,69430008,76062600,67669864,77392728,70434696,73159936,65722260,70316872,66626976
10484_p,SM 41:3;O2,6425046.5,9081172,5620737.5,6531491,4993230.5,5043320,5531100,5046353.5,6378398
10492_p,PC O-39:10,7787065.5,6799443.5,5576019.5,4587265.5,5527221,7472858.5,7823063.5,12168177,7490589.5
10493_p,PC O-39:10,7923795,10754314,11602618,11829681,9901580,9354380,10364354,7045930,9359472
10494_p,PC O-39:10,6474233.5,8234516,9224262,12015696,7959726.5,7279876,8605829,6008383.5,7868949.5
10495_p,PC O-39:10,3117629.75,2708314.75,3112697.25,2614283.25,3317700,5241445.5,3780653,1828103.75,2669933
10496_p,PC 37:3|PC 19:1_18:2,137858784,165667600,175590112,164870768,201580352,172590848,179615296,151116864,179726816
10497_p,PC 37:3,119164888,152304304,153232688,149007408,187898560,157509552,166946528,134386720,159964944
10499_p,PC O-38:3|PC O-18:0_20:3,53728604,82488584,74995560,77004824,86807592,96336072,117511464,110550944,123450880
10502_p,HexCer 41:1;O2|HexCer 18:1;O2/23:0,8760831,18553990,14827374,13306534,8826193,8634712,9236899,6052850.5,8303372
10504_p,SM 42:9;O2,1633877.625,2300442.75,3039395.75,2906639.75,7681997.5,6165604.5,4855009,3135178.5,4688443
10506_p,DG 48:8,22391820,32621880,30460666,29330134,34015736,28964976,31805142,19034492,30274632
10507_p,SM 41:2;O2|SM 17:1;O2/24:1,192112256,332660576,258930000,288949504,208325584,197849328,240567712,164358864,240396896
10511_p,PC O-39:9,2797774.75,3117196.5,5375829.5,3398418,5751418.5,4320772.5,5075441.5,2307493.75,4337500.5
10513_p,PC O-39:9,4576936.5,3290726.25,4299394,5701860,7113017,6575496.5,5600520.5,6479154,6726418.5
10515_p,PC O-39:9,5553488.5,4853131.5,5573185,6048605.5,8304124.5,6987744.5,7465423,4460275.5,6425149
10516_p,PC 37:2|PC 19:0_18:2,569994880,956986752,883310144,943836096,706242048,736331840,775615424,483075776,650617920
10518_p,PC O-38:2|PC O-20:0_18:2,88634376,148620128,158600976,176387232,179310432,216174304,268438688,215960512,294050304
10525_p,SM 41:9;O2,3772459,3654504.5,4180820.25,2890816.75,4715052,15267305,4078608.25,2617539.5,2533528
10530_p,SM 41:1;O2|SM 18:1;O2/23:0,207511568,369545600,290980640,309217568,232564800,275409216,361800256,225986992,316476576
10532_p,PC 36:5,6661573.5,19998030,16527986,17817768,20116858,13622992,14111882,6097653.5,17111186
10533_p,PC 36:5,9683140,27964820,20540590,26105460,23401004,15605532,16401045,6741378.5,17486850
10534_p,PC 36:5,8955759,22486256,19754488,19451998,22526984,14841548,17142800,6412594,14028425
10536_p,PC O-39:8|PC O-18:4_21:4,7601932,7698769.5,7001972.5,8944697,11833751,6887444.5,10056982,7317187,8366545.5
10540_p,PC O-39:8,5347202,4215770,6364832.5,6455986,11970786,10635451,7930908,5964546,7729166.5
10541_p,PC 37:1|PC 19:0_18:1,71666448,129905384,115271808,123920816,90882776,97754368,107381600,58433300,94277968
10542_p,PC O-38:1|PC O-20:0_18:1,8018912,13886637,16449349,20145624,22647724,28599036,33871744,34378824,33434918
10543_p,PC O-38:1|PC O-20:0_18:1,9312846,13609740,15968798,18656522,20610626,30756500,44331208,35835340,31048336
10548_p,SM 42:7;O2,3588125.5,4849218,6239315.5,4283030,4976346,3408375,5227159,5982625.5,6207074.5
10549_p,DG 48:6,2409079.75,4763960,4667629,4600461.5,4473088,5978129.5,7287224,6203333.5,8000613
10554_p,PC 36:4,125320616,200220512,199253072,219399648,198243728,187733520,166770176,135641664,163245840
