contrast,set,pval,padj,log2err,ES,NES,size,leadingEdge
Mizoribine - Vehicle,Class_TG,7.36246737076456e-6,7.288842697056914e-4,0.610526878385931,-0.5270208304314673,-1.8283992576534522,178,
Mizoribine - Vehicle,Class_PE,2.2312353227701048e-4,0.007363076565141346,0.5188480777437918,0.494310684672826,1.7886243225986205,123,
Mizoribine - Vehicle,Class_ST,2.061448091058096e-4,0.007363076565141346,0.5188480777437918,-0.8944090238808149,-1.9265630886514369,10,
Mizoribine - Vehicle,Class_PI,4.301973980195208e-4,0.01064738560098314,0.49849310876659025,0.6506629527167183,1.9913815703844988,44,
Mizoribine - Vehicle,Class_CAR,5.954652169556416e-4,0.011790211295721704,0.47727081536286214,-0.8122284411898248,-1.909306683479944,15,
Mizoribine - Vehicle,total_cl_28,0.0012229163638978354,0.020178120004314282,0.45505986738722953,-0.8252329214858044,-1.8771111316580287,13,
Mizoribine - Vehicle,total_cl_27,0.0018160165945362119,0.025683663265583568,0.45505986738722953,-0.9211617288508513,-1.7460313910460716,6,
Mizoribine - Vehicle,Class_BA,0.002674205508379179,0.027212424072027216,0.4317076958033464,0.9675605416007841,1.6801393854577826,3,
Mizoribine - Vehicle,total_cl_49,0.0024103446487519884,0.027212424072027216,0.4317076958033464,0.8170531024763907,1.9110505447589903,12,
Mizoribine - Vehicle,total_cl_56,0.002943978728587218,0.027212424072027216,0.4317076958033464,-0.7562990807423794,-1.8315355804932765,17,
Mizoribine - Vehicle,total_cl_62,0.0030236026746696906,0.027212424072027216,0.4317076958033464,-0.8464618085307638,-1.7767549890045127,9,
Mizoribine - Vehicle,Class_PS,0.004779703478043572,0.036399280332793355,0.40701791892395395,-0.7651845116735484,-1.8429995691179482,16,
Mizoribine - Vehicle,total_cl_64,0.0045077945877600775,0.036399280332793355,0.40701791892395395,-0.8759565258124222,-1.7378962254637274,7,
Mizoribine - Vehicle,total_cl_66,0.008075667858151173,0.05710650842549758,0.3807304007227924,-0.9795008912655971,-1.4822521195895988,2,
Mizoribine - Vehicle,total_cl_48,0.010859198742103646,0.0687112245559191,0.3807304007227924,0.7332288079050904,1.7752153926928367,14,
Mizoribine - Vehicle,total_cs_13,0.011104844372673794,0.0687112245559191,0.3807304007227924,-0.8654791041895619,-1.64048682970641,6,
Mizoribine - Vehicle,total_cs_17,0.012569859559736577,0.07320094684787772,0.3807304007227924,-0.9750445632798574,-1.4755084793730857,2,
Mizoribine - Vehicle,total_cl_30,0.013932827049579466,0.07663054877268706,0.3807304007227924,-0.8527667642554653,-1.6163910125622576,6,
Mizoribine - Vehicle,total_cl_60,0.01895196267852102,0.09874970027229373,0.35248785758361917,-0.7337693723802058,-1.6690641164493374,13,
Mizoribine - Vehicle,total_cs_10,0.023243373652185755,0.11505469957831949,0.35248785758361917,-0.6246228922233598,-1.6116323228009242,26,
Mizoribine - Vehicle,Class_DGO,0.028174944117861613,0.12678724853037726,0.35248785758361917,0.8355674709562109,1.6301774451552895,5,
Mizoribine - Vehicle,total_cl_20,0.028086802222876663,0.12678724853037726,0.35248785758361917,-0.6416041557974795,-1.6248952519921736,24,
Mizoribine - Vehicle,total_cl_24,0.033835364994710994,0.14563917975984295,0.3217759180753611,0.7134568811088311,1.6687436314391568,12,
Mizoribine - Vehicle,total_cs_15,0.043320120664903136,0.17869549774272545,0.3217759180753611,-0.9026451845329204,-1.4919706769063394,3,
Mizoribine - Vehicle,Class_SHexCer,0.06497627604596655,0.24483323460960427,0.2878051305355643,0.40749794511802573,1.370609829232237,71,
Mizoribine - Vehicle,total_cs_11,0.0627062706270627,0.24483323460960427,0.23112670967383428,-0.6143590535776187,-1.5350469787153924,21,
Mizoribine - Vehicle,total_cs_9,0.0667727003480739,0.24483323460960427,0.2878051305355643,0.507811328859715,1.4804829729354043,34,
Mizoribine - Vehicle,Class_LPC,0.07692307692307693,0.270985401459854,0.19782202131510335,-0.5100784076502185,-1.4451671608394339,45,
Mizoribine - Vehicle,Class_TGO,0.08211678832116788,0.270985401459854,0.2114001893849227,-0.7874618906973743,-1.4536355178151932,5,
Mizoribine - Vehicle,total_cl_23,0.08039071014218489,0.270985401459854,0.2878051305355643,-0.9318316268768175,-1.410115515315304,2,
Mizoribine - Vehicle,total_cl_58,0.08485856905158069,0.27099994632601576,0.19782202131510335,-0.6547838724154371,-1.503552096060345,14,
Mizoribine - Vehicle,total_cl_19,0.08941605839416059,0.27663093065693434,0.20207170902115992,-0.7739816279409353,-1.428751280287346,5,
Mizoribine - Vehicle,total_cl_22,0.11092715231788079,0.33278145695364236,0.17093233537005617,-0.6042661734967637,-1.463356263452655,17,
Mizoribine - Vehicle,total_cs_14,0.11573236889692586,0.3369854270822253,0.17520404755855126,-0.7196602210863696,-1.3640919911767306,6,
Mizoribine - Vehicle,total_cl_21,0.1374764595103578,0.3813868613138686,0.16318012718068908,-0.815343443354148,-1.347670745866443,3,
Mizoribine - Vehicle,total_cl_29,0.1386861313868613,0.3813868613138686,0.1596467019199062,-0.7381590705987489,-1.362623709789353,5,
Mizoribine - Vehicle,total_cl_34,0.16718266253869968,0.4473265835494938,0.19189224038483796,0.3702582080842487,1.2305575108970979,66,
